"Figure","Section","Caption","PNG","PDF"
"cpue-fit-residuals","Model fit","Observed and fitted relative CPUE (left panels) with standardised log-scale residuals (right panels) for the five regional index fisheries. Fit shading gives the central 95% observation interval implied by the fixed regional log-scale error values; it is not parameter-estimation uncertainty. Residual shading marks the corresponding ±1.96 observation-error SD range.","figures/cpue-fit-residuals.png","figures/cpue-fit-residuals.pdf"
"diagnostic-population-dynamics","Population dynamics","Diagnostic-model estimates of (a) dynamic spawning depletion, (b) spawning potential, (c) recruitment and (d) annual fishing mortality relative to FMSY. Shading gives central 50%, 80% and 95% Hessian delta-method intervals.","figures/diagnostic-population-dynamics.png","figures/diagnostic-population-dynamics.pdf"
"likelihood-profile-components","Diagnostics","Likelihood profiles on the absolute total-average-biomass scale. Each curve is expressed as a change from its own minimum; the horizontal line marks a change of 1.92. The interactive viewer provides component-specific curve selection and numeric values.","figures/likelihood-profile-components.png","figures/likelihood-profile-components.pdf"
"likelihood-profile-cpue-detail","Diagnostics","CPUE likelihood profile. The upper panel shows the CPUE total; the heatmap separates the five index contributions, each expressed as a change from its own minimum.","figures/likelihood-profile-cpue-detail.png","figures/likelihood-profile-cpue-detail.pdf"
"likelihood-profile-lf-detail","Diagnostics","Length- and weight-frequency likelihood profile. The upper panel shows the LF total; the heatmap separates fishery contributions without overlapping dozens of curves.","figures/likelihood-profile-lf-detail.png","figures/likelihood-profile-lf-detail.pdf"
"likelihood-profile-caal-region-detail","Diagnostics","Conditional age-at-length likelihood profile. The upper panel shows the CAAL total; the heatmap separates contributions from the five model regions.","figures/likelihood-profile-caal-region-detail.png","figures/likelihood-profile-caal-region-detail.pdf"
"likelihood-profile-tag-detail","Diagnostics","Tag likelihood profile. The upper panel shows the tag total; the heatmap separates RTTP, PTTP and JPTP programme contributions.","figures/likelihood-profile-tag-detail.png","figures/likelihood-profile-tag-detail.pdf"
"likelihood-profile-penalty-detail","Diagnostics","Penalty likelihood profile. The upper panel shows the penalty total; the heatmap separates individual penalty components.","figures/likelihood-profile-penalty-detail.png","figures/likelihood-profile-penalty-detail.pdf"
"jitter-diagnostics","Diagnostics","Jitter diagnostics from 30 dispersed starting values: (a) objective-function difference from the diagnostic fit, (b) maximum gradient component, (c) terminal depletion and (d) depletion trajectories for fits meeting the MGC criterion. Dashed lines mark the diagnostic fit or MGC threshold.","figures/jitter-diagnostics.png","figures/jitter-diagnostics.pdf"
"retrospective-diagnostics","Diagnostics","Retrospective trajectories for (a) dynamic spawning depletion, (b) spawning potential, (c) recruitment and (d) annual population-weighted fishing mortality. Colours distinguish the diagnostic fit and seven terminal-year peels; labels give Mohn's rho.","figures/retrospective-diagnostics.png","figures/retrospective-diagnostics.pdf"
"self-test-diagnostics","Diagnostics","Self-test results from 50 simulated-and-refitted data sets: (a) maximum gradient component, (b) recovery of management quantities, (c) terminal derived quantities and (d) selected profile parameters. Relative errors are refitted minus generating values, divided by generating values.","figures/self-test-diagnostics.png","figures/self-test-diagnostics.pdf"
"aspm-comparison","Diagnostics","Comparison of the diagnostic model and ASPM: (a) dynamic spawning depletion, (b) spawning potential, (c) recruitment and (d) annual population-weighted fishing mortality.","figures/aspm-comparison.png","figures/aspm-comparison.pdf"
"hessian-parameter-scales","Diagnostics","Parameter standard errors derived from the positive-definite inverse Hessian: (a) ordered standard errors and (b) distributions for the ten most numerous parameter families. Logarithmic axes show the wide range of estimated parameter scales.","figures/hessian-parameter-scales.png","figures/hessian-parameter-scales.pdf"
"region-map","Overview","Five-region spatial structure used by the diagnostic model. Labels identify the fitted fisheries in each region by gear and fishery ID; the IDs correspond to the fishery-definition table.","mfclshiny/figures/region-map.png","mfclshiny/figures/region-map.pdf"
"total-catch-fits","Model fit","Observed and fitted total catch through time.","mfclshiny/figures/total-catch-fits.png","mfclshiny/figures/total-catch-fits.pdf"
"catch-by-fishery-fits","Model fit","Observed and fitted catch by fishery. Facet labels identify the fisheries and their model regions.","mfclshiny/figures/catch-by-fishery-fits.png","mfclshiny/figures/catch-by-fishery-fits.pdf"
"length-frequency","Model fit","Observed and fitted length compositions by fishery. Shaded bands are 95% predictive intervals for repeated observations conditional on the fitted composition model; parameter uncertainty is not included.","mfclshiny/figures/length-frequency.png","mfclshiny/figures/length-frequency.pdf"
"length-frequency-residuals","Model fit","Length-composition residuals by fishery and length class.","mfclshiny/figures/length-frequency-residuals.png","mfclshiny/figures/length-frequency-residuals.pdf"
"age-data-fit","Model fit","Observed and fitted conditional mean age by fishery and year, weighted by the number of aged fish in each length bin. Three-column panels use increased height to retain readable fishery labels and time series.","mfclshiny/figures/age-data-fit.png","mfclshiny/figures/age-data-fit.pdf"
"age-data-fit-by-region","Model fit","Observed and fitted conditional age-at-length distributions for the five model regions and the pooled All regions panel (last). Cells and point sizes show fitted and observed proportions; solid and dashed lines show their corresponding mean ages at length.","mfclshiny/figures/age-data-fit-by-region.png","mfclshiny/figures/age-data-fit-by-region.pdf"
"age-data-growth-by-region","Model fit","Observed age-length cells for the five model regions and the pooled All regions panel (last), over the fitted growth curve. Shading is the fitted mean length at age plus or minus 1.96 length-at-age standard deviations and represents fish-level length variability, not Hessian parameter uncertainty.","mfclshiny/figures/age-data-growth-by-region.png","mfclshiny/figures/age-data-growth-by-region.pdf"
"age-data-residuals-by-region","Model fit","Conditional age-at-length residuals for the five model regions and the pooled All regions panel (last).","mfclshiny/figures/age-data-residuals-by-region.png","mfclshiny/figures/age-data-residuals-by-region.pdf"
"age-data-coverage","Model fit","Coverage of conditional age-at-length observations by fishery and year. The samples and fish-aged arrays use increased height so all panels remain readable.","mfclshiny/figures/age-data-coverage.png","mfclshiny/figures/age-data-coverage.pdf"
"tag-returns-all","Model fit","Observed and expected tag returns across tag-release and recapture groups.","mfclshiny/figures/tag-returns-all.png","mfclshiny/figures/tag-returns-all.pdf"
"tag-returns-by-group","Model fit","Observed and expected tag returns by tag-release group.","mfclshiny/figures/tag-returns-by-group.png","mfclshiny/figures/tag-returns-by-group.pdf"
"tag-attrition-by-program","Model fit","Observed (black points) and model-predicted (red line) tag recaptures by time at liberty in quarters for RTTP, PTTP, JPTP and all recaptures. Programme predictions apply MFCL's premixing reporting-rate rule and reconcile to the official all-recapture diagnostic within its printed precision.","mfclshiny/figures/tag-attrition-by-program.png","mfclshiny/figures/tag-attrition-by-program.pdf"
"population-biology","Population dynamics","Growth, maturity, natural mortality and weight-at-age assumptions used in the diagnostic model.","mfclshiny/figures/population-biology.png","mfclshiny/figures/population-biology.pdf"
"growth-curve","Population dynamics","Fitted mean length at age. Shading is the mean plus or minus 1.96 length-at-age standard deviations and represents fish-level length variability, not parameter-estimation uncertainty.","mfclshiny/figures/growth-curve.png","mfclshiny/figures/growth-curve.pdf"
"fishery-process","Population dynamics","Estimated fishery selectivity at age for all 33 fisheries, grouped into the five model-region panels. Colours and the complete fishery key identify each fitted cubic-spline curve.","mfclshiny/figures/fishery-process.png","mfclshiny/figures/fishery-process.pdf"
"fishery-selectivity-length","Population dynamics","Estimated fishery selectivity at length for all 33 fisheries, grouped into the five model-region panels. Length is the fitted mean length at each age class.","mfclshiny/figures/fishery-selectivity-length.png","mfclshiny/figures/fishery-selectivity-length.pdf"
"regional-movement","Population dynamics","Estimated quarterly movement probabilities among the five model regions.","mfclshiny/figures/regional-movement.png","mfclshiny/figures/regional-movement.pdf"
"depletion-by-area","Population dynamics","Dynamic spawning depletion by model region and the pooled All regions series (last). The only reference line is the LRP (0.20).","mfclshiny/figures/depletion-by-area.png","mfclshiny/figures/depletion-by-area.pdf"
"recruitment-by-area","Population dynamics","Estimated recruitment by model region and the pooled All regions series (last); each panel’s y axis begins at zero.","mfclshiny/figures/recruitment-by-area.png","mfclshiny/figures/recruitment-by-area.pdf"
"f-juvenile-adult-by-area","Population dynamics","Annual juvenile and adult F by model region and the pooled All regions series (last); each panel’s y axis begins at zero.","mfclshiny/figures/f-juvenile-adult-by-area.png","mfclshiny/figures/f-juvenile-adult-by-area.pdf"
"spawning-potential-with-without-fishing","Population dynamics","Spawning potential with and without fishing through time.","mfclshiny/figures/spawning-potential-with-without-fishing.png","mfclshiny/figures/spawning-potential-with-without-fishing.pdf"
"total-biomass-with-without-fishing","Population dynamics","Total biomass with and without fishing through time.","mfclshiny/figures/total-biomass-with-without-fishing.png","mfclshiny/figures/total-biomass-with-without-fishing.pdf"
